created_at,id_str,source,text,in_reply_to_status_id_str,user.id_str,user.created_at,user.name,user.screen_name,user.description,user.location,user.verified,user.followers_count,user.friends_count,user.statuses_count,user.listed_count,user.favourites_count,retweet_count,favorite_count,favorited,retweeted,lang,coordinates,keyword
2023-03-04 16:30:33+00:00,1632055944153538560,Twitter for iPad,"@djheadrick @BrenzieK @Kulp2005 @wyonaf Forcing dangerous Covid vaxes on the general population, suppressing Pfizer… https://t.co/Z8J0wDzSgG",1632053747558883331,1108858493577162753,2019-03-21 22:30:41+00:00,Great Horse Fallen Off✡️,tulsietown1989,No DM’s or you will be blocked. Artist & political commentator. All posts are for entertainment purposes only and do not constitute advice.  No pronoun police.,"Sioux Falls, SD",False,6145,2074,37748,14,24439,0,1,False,False,en,,Safe-T
2023-03-04 15:24:20+00:00,1632039277239455744,Twitter Web App,@PekalaLaw Too bad their are no journalists in Illinois.  It would be interesting to see someone report on how much… https://t.co/zovVX1oXfq,1632000349065052164,44216665,2009-06-02 21:45:45+00:00,David Kleckner,dkleckner,Semi-retired meteorologist.,Formerly Free America,False,126,75,5481,4,15565,1,9,False,False,en,,Safe-T
2023-03-04 12:43:12+00:00,1631998726599237632,wiadomosci.com,Kolejny sędzia uznaje przepisy Safe-T Act za niekonstytucyjne https://t.co/igU88kOk6y,,3331999137,2015-06-18 02:03:25+00:00,Wiadomosci,wiadomosci_com,,,False,1321,51,85203,8,0,0,0,False,False,pl,,Safe-T
2023-03-04 05:11:44+00:00,1631885113431564289,Twitter Web App,@AdamKinzinger Anyone who supported the Safe-T act in Illinois was not looking out for law abiding citizens.,1631830065058127872,1383854702136160261,2021-04-18 18:47:37+00:00,Richard E Hagen 🇺🇸,RichardEHagen1,"Live and work in Chicago, trying to make the World a better place.","Chicago, Illinois, USA",False,324,64,12767,13,16847,0,1,False,False,en,,Safe-T
2023-03-04 05:05:09+00:00,1631883457679769600,Twitter Web App,@BrianThornbur12 @tazinbays @FPCAction Same deal with the SAFE-T Act. IL Dems have gerrymandered IL so effectively… https://t.co/sAJNFXqFmq,1631830656081702912,1429347727163502592,2021-08-22 07:40:43+00:00,Frogs_Bark,Frogs_Bark,,"Chicago, IL",False,73,139,1565,0,54568,0,1,False,False,en,,Safe-T
2023-03-04 00:46:59+00:00,1631818486870597635,PulpNews,A flurry of filings as SAFE-T Act #fight heads to state Supreme Court - Mar 3 @ 7:43 PM ET https://t.co/1ypfjBGRIk,,100986964,2010-01-01 14:32:20+00:00,PulpNews Crime,PulpNews,The Fastest Crime News Updates on the Planet!,USA,False,5473,895,4197301,1003,83,0,0,False,False,en,,Safe-T
2023-03-04 00:04:22+00:00,1631807761536151561,Twitter for iPhone,"@Non_Fudd Sad thing Illinois supreme court might deem it constitutional, might need to go further. Il state supreme… https://t.co/BaPfvRy1VT",1631807284459237378,938591581850005504,2017-12-07 02:10:46+00:00,Chris_T,Christie4524,stuck in Illinois. I KNOW the grass is greener…. family/faith/freedom…GoBEARS…,United States,False,330,888,15540,1,16554,0,2,False,False,en,,Safe-T
2023-03-03 21:47:27+00:00,1631773305387589633,Twitter for iPhone,@RobertJPeters And…..? You forgot to mention the Safe-T Act that you supported and a Cook County States Attorney th… https://t.co/2UUccaoD5q,1631318418157699072,1278180001288945664,2020-07-01 04:15:17+00:00,Tuffy Farragut III,poindexter_perw,"Short, Fat, Ugly, and Opinionated","Chicago, IL",False,301,801,14030,2,21656,0,2,False,False,en,,Safe-T
2023-03-03 20:30:54+00:00,1631754040269840390,Twitter Web App,"Dometic SeaStar Safe-T Quick Connect Rotary Steering Kit, SS137XX 4JREQIE

https://t.co/YDGua0TRt3",,1584245972267585536,2022-10-23 18:10:57+00:00,Marcella.FeilViw,feilviw,,,False,6,1,12320,1,0,0,0,False,False,en,,Safe-T
2023-03-03 17:13:45+00:00,1631704427961675776,Twitter for iPhone,"@grizwald87 Yes

The SAFE-T act requires cameras bu but does not fund them and downstate counties and municipalitie… https://t.co/HbzorqrQlu",1631699328149622784,7155782,2007-06-29 16:47:44+00:00,mark safranski,zenpundit,Trying to discern the connections....,Greater Chicago area,False,4600,1418,143578,162,72775,0,1,False,False,en,,Safe-T
2023-03-03 16:41:34+00:00,1631696328416796672,Twitter Web App,"The SAFE-T Act depends on men awaiting trial for violent crime, who may already have an extensive conviction record… https://t.co/elWU4NQtEy",1631695130900963329,268792491,2011-03-19 13:38:31+00:00,Man w/o a Plan,MidWestMet,Just pick a dead end and chill out till you die.,Illinois,False,514,834,77193,28,142092,0,1,False,False,en,,Safe-T
