created_at,id_str,source,text,in_reply_to_status_id_str,user.id_str,user.created_at,user.name,user.screen_name,user.description,user.location,user.verified,user.followers_count,user.friends_count,user.statuses_count,user.listed_count,user.favourites_count,retweet_count,favorite_count,favorited,retweeted,lang,coordinates,keyword,source
2023-03-05 23:28:16,1632523451322843139,Twitter Web App,"@RNCResearch This, to me, shows how low the Marxist-Socialist, DEMS have come. They will not only get ringers on MS… https://t.co/oAIPUnMKXf",1632415487480016897,1318599636697960449,2020-10-20 17:07:23,Lyn Miller,LynMill03929114,"On Parler:  @Lmill2464
On https://t.co/iY5FZgfGju:  @LynMiller

""...God has illumined it, and the Lamb is its lamp and light."" Rev. 21:23b, Amp.",,False,22,319,8121,0,7421,0,0,False,False,en,,Safe-T,twitter
2023-03-05 23:03:42,1632517271686901761,Twitter Web App,"@RNCResearch This, to me, shows how low the Marxist-Socialist, DEMS have come. They will not only get ringers on MS… https://t.co/kLqPQeEuJa",1632422320022200328,1318599636697960449,2020-10-20 17:07:23,Lyn Miller,LynMill03929114,"On Parler:  @Lmill2464
On https://t.co/iY5FZgfGju:  @LynMiller

""...God has illumined it, and the Lamb is its lamp and light."" Rev. 21:23b, Amp.",,False,22,319,8121,0,7421,1,1,False,False,en,,Safe-T,twitter
2023-03-05 17:13:57,1632429252170661891,Twitter for iPhone,@MarkMaxwellTV The premise of vetoing unfair maps wasn’t true. The premise of the need for the fair tax wasn’t true… https://t.co/vNkSRCba1z,1632414624464117764,783648561980256258,2016-10-05 12:42:31,CapCityNewt,CapCityNewt,,"Illinois, USA",False,6,17,67,0,41,0,0,False,False,en,,Safe-T,twitter
2023-03-05 15:59:07,1632410422035853312,Twitter for iPhone,@I_am_Rachael__ @solarconservat1 What she’s describing is essentially called the ‘Safe-T Act’ That fatso Gov. Prick… https://t.co/q8vF4f6Vml,1632407848889008129,1518702445894979584,2022-04-25 21:36:52,grahamjones,grahamj96023843,"Race engine builder, beer/wine/whiskey/scotch drinker, meat eater, sports fan, gun owner, small business owner, and part of the  LGBFJB community.",,False,26,188,240,0,1652,0,2,False,False,en,,Safe-T,twitter
2023-03-05 04:58:01,1632244049989062658,Twitter Web App,@GrantWehrli @notguiltyCHI @RobertJPeters @SAKimFoxx He is also an architect of the Safe-T act which makes Illinoisans less safe.,1631457130229243904,1383854702136160261,2021-04-18 18:47:37,Richard E Hagen 🇺🇸,RichardEHagen1,"Live and work in Chicago, trying to make the World a better place.","Chicago, Illinois, USA",False,326,64,12773,13,16872,0,3,False,False,en,,Safe-T,twitter
2023-03-05 02:50:20,1632211914389442560,Twitter for iPhone,@Christie4524 @Non_Fudd Except the SAFE-T act is In a holding pattern as well!,1631807761536151561,2990706119,2015-01-21 22:27:16,Trucker John,kc9qio,"local trucker, 34+ years vol. police aide in Chicago, 2 1/2 years as a vol. police officer, personal defense advocate, NRA Instructor, Ordained Minister","Illinois, USA",False,312,891,8581,0,6584,0,0,False,False,en,,Safe-T,twitter
2023-03-05 02:45:15,1632210638410862592,Twitter Web App,@ALC42Charger @RLopez15thWard No...and you need to stop lying. The Illinois 2021 SAFE-T Act PROHIBITS police from A… https://t.co/5yXSsXDh9L,1632022605854130177,4106709679,2015-11-02 23:08:09,Lionel Hutz,LionelHutz911,,"Chicago, IL",False,32,19,445,1,2971,0,0,False,False,en,,Safe-T,twitter
2023-03-04 22:51:35,1632151832792563713,dlvr.it,16' SAFE-T QC STEERING CABLE (SC-62-16) https://t.co/Z0LlSP9I8Z eBay https://t.co/TxNmSocvh0,,1333889056162283520,2020-12-01 21:41:55,Boats Parts Supplies,BoatsParts,"Boats Parts, Supplies and Accessories. Selected Items. Deals. Product Information. Daily Updated. (eBay Links)",,False,122,11,67399,0,0,0,0,False,False,en,,Safe-T,twitter
2023-03-04 16:30:33,1632055944153538560,Twitter for iPad,"@djheadrick @BrenzieK @Kulp2005 @wyonaf Forcing dangerous Covid vaxes on the general population, suppressing Pfizer… https://t.co/Z8J0wDzSgG",1632053747558883331,1108858493577162753,2019-03-21 22:30:41,Great Horse Fallen Off✡️,tulsietown1989,No DM’s or you will be blocked. Artist & political commentator. All posts are for entertainment purposes only and do not constitute advice.  No pronoun police.,"Sioux Falls, SD",False,6176,2078,37876,15,24549,0,1,False,False,en,,Safe-T,twitter
2023-03-04 15:24:20,1632039277239455744,Twitter Web App,@PekalaLaw Too bad their are no journalists in Illinois.  It would be interesting to see someone report on how much… https://t.co/zovVX1oXfq,1632000349065052164,44216665,2009-06-02 21:45:45,David Kleckner,dkleckner,Semi-retired meteorologist.,Formerly Free America,False,126,75,5485,4,15568,1,12,False,False,en,,Safe-T,twitter
